RTO,RTO_Office_Code,Address,Pincode,Contacts,Working_Hours,Lat,Lon,Zone
Tardeo (South Mumbai),MH-01,"Old Bodyguard Lane, Tulsiwadi, Tardeo, Mumbai, Maharashtra",400034,"91-22-24932337
91-22-24944601
91-22-24944602",10AM–5:30PM,18.9743,72.817,West
Andheri (Western Suburb Mumbai) ,MH-02,"Regional Transport Office, D/111, Ambivali Village, Versova Road, Near Manish Nagar, Andheri (West), Mumbai, Maharashtra",400053,"91-22-6362252
91-22-26366957
91-22-26319821
91-22-26323315",10AM–5:00PM,19.1334,72.8305,West
Worli (South Mumbai),MH-03,"Near Gts Building, Sir Pochkhanwala Road, Worli, Municipal Colony, Worli Shivaji Nagar, Worli, Mumbai, Maharashtra",400037,"91-22-24036221
91-22-24036479",24 hours,19.014,72.8181,West
Dahisar (Western Suburb),MH-47,"Dy. Regional Transport Officer, Wing-A Link Rd, Kandarpada Anand Park, Dahisar West, Near Borivali, Mumbai",400068,"91-22-26366957
91-22-26362252
91-22-26319821
91-22-26323315",10AM–5:00PM,19.261463,72.8519251,West
Thane (Western Mumbai),MH-04,"kalwa road, opp. Central Jail, Thane - 400601",400601,91-22-25343580,10AM–5:30PM,19.1986,72.9817,West
Kalyan,MH-05,"Sahyadri Nagar, Chikanghar, Near Birla School, Kalyan(W)",421301,91-251-2230505,10AM–5:00PM,19.251851,73.1459006,West
Raigad,MH-06,"Vikas Smruti, Pen Khopoli Road, Utkarsha Nagar, Raigad",402107,91-2143-252234,10AM–5:30PM,18.7353,73.1058,West
Sindhudurg,MH-07,"MH SH 179, Sindhu Durg, Oros, Maharashtra",416812,91-2362-229050,10AM–5:00PM,16.1121393,73.70932,West
Ratnagiri,MH-08,"S. No. 56-A, SH 265, Ganesh Nagar, Ratnagiri, Maharashtra",415612,91-2352-29444,10AM–5:30PM,16.9920339,73.3465588,West
Kolhapur,MH-09,"213, E Ward, Tarabai Park, Warna Colony, Kolhapur, Maharashtra",416003,91-231-663131,10AM–5:00PM,16.714592,74.2404409,South
